record_type,id,name,start_date,end_date,duration,status,project_id,is_critical,dependency_type,resource_type,role,skill_level,quantity,task_id,resource_id
PROJECT,1,Mobile App 1,2022-04-09,2024-03-23,,,,,,,,,,,
PROJECT,2,Payment Gateway 2,2023-09-23,2023-12-17,,,,,,,,,,,
PROJECT,3,Cloud Migration 3,2023-07-04,2024-06-09,,,,,,,,,,,
PROJECT,4,Data Analytics 4,2022-01-15,2022-10-30,,,,,,,,,,,
PROJECT,5,IoT Dashboard 5,2023-08-11,2024-01-22,,,,,,,,,,,
PROJECT,6,Mobile App 6,2023-01-20,2024-09-29,,,,,,,,,,,
PROJECT,7,API Gateway 7,2023-12-15,2025-10-09,,,,,,,,,,,
PROJECT,8,E-Commerce Platform 8,2022-01-30,2022-05-02,,,,,,,,,,,
PROJECT,9,Cloud Migration 9,2022-05-23,2022-10-25,,,,,,,,,,,
PROJECT,10,DevOps Automation 10,2024-05-29,2025-03-23,,,,,,,,,,,
PROJECT,11,E-Commerce Platform 11,2023-02-18,2024-12-25,,,,,,,,,,,
PROJECT,12,Cloud Migration 12,2024-02-12,2025-11-07,,,,,,,,,,,
PROJECT,13,Payment Gateway 13,2023-10-10,2025-10-04,,,,,,,,,,,
PROJECT,14,API Gateway 14,2023-03-07,2024-11-14,,,,,,,,,,,
PROJECT,15,ML Pipeline 15,2023-09-06,2024-06-17,,,,,,,,,,,
PROJECT,16,ERP Integration 16,2023-07-11,2025-05-04,,,,,,,,,,,
PROJECT,17,HR Portal 17,2024-04-09,2024-06-14,,,,,,,,,,,
PROJECT,18,Payment Gateway 18,2022-02-09,2022-09-20,,,,,,,,,,,
PROJECT,19,Security Audit 19,2023-08-07,2024-12-11,,,,,,,,,,,
PROJECT,20,Data Analytics 20,2022-02-18,2023-01-28,,,,,,,,,,,
PROJECT,21,HR Portal 21,2022-12-30,2023-10-06,,,,,,,,,,,
PROJECT,22,Mobile App 22,2023-01-25,2024-03-04,,,,,,,,,,,
PROJECT,23,API Gateway 23,2024-02-09,2024-07-12,,,,,,,,,,,
PROJECT,24,Security Audit 24,2022-01-04,2022-06-12,,,,,,,,,,,
PROJECT,25,CRM System 25,2023-10-07,2024-11-22,,,,,,,,,,,
PROJECT,26,HR Portal 26,2022-05-10,2023-04-05,,,,,,,,,,,
PROJECT,27,Payment Gateway 27,2023-03-09,2023-06-21,,,,,,,,,,,
PROJECT,28,DevOps Automation 28,2022-02-26,2023-08-10,,,,,,,,,,,
PROJECT,29,BI Reporting 29,2024-01-08,2024-07-13,,,,,,,,,,,
PROJECT,30,Mobile App 30,2024-05-08,2025-07-29,,,,,,,,,,,
PROJECT,31,ERP Integration 31,2023-07-01,2025-03-17,,,,,,,,,,,
PROJECT,32,CRM System 32,2023-10-19,2025-09-21,,,,,,,,,,,
PROJECT,33,CRM System 33,2022-04-04,2023-06-08,,,,,,,,,,,
PROJECT,34,Payment Gateway 34,2022-12-06,2023-08-19,,,,,,,,,,,
PROJECT,35,E-Commerce Platform 35,2023-01-14,2023-05-25,,,,,,,,,,,
PROJECT,36,HR Portal 36,2023-11-30,2024-09-18,,,,,,,,,,,
PROJECT,37,Mobile App 37,2023-09-30,2024-09-20,,,,,,,,,,,
PROJECT,38,Supply Chain 38,2022-09-18,2023-07-13,,,,,,,,,,,
PROJECT,39,API Gateway 39,2023-08-29,2024-02-08,,,,,,,,,,,
PROJECT,40,ML Pipeline 40,2022-08-27,2023-08-06,,,,,,,,,,,
PROJECT,41,Supply Chain 41,2022-09-17,2024-08-27,,,,,,,,,,,
PROJECT,42,Data Analytics 42,2022-03-27,2023-06-03,,,,,,,,,,,
PROJECT,43,Security Audit 43,2022-04-29,2023-07-12,,,,,,,,,,,
PROJECT,44,IoT Dashboard 44,2023-08-25,2024-05-25,,,,,,,,,,,
PROJECT,45,Payment Gateway 45,2024-03-08,2025-02-04,,,,,,,,,,,
PROJECT,46,Mobile App 46,2022-03-09,2024-03-01,,,,,,,,,,,
PROJECT,47,IoT Dashboard 47,2024-03-21,2026-02-02,,,,,,,,,,,
PROJECT,48,DevOps Automation 48,2023-03-12,2023-11-02,,,,,,,,,,,
PROJECT,49,Data Analytics 49,2022-04-03,2023-02-07,,,,,,,,,,,
PROJECT,50,API Gateway 50,2023-08-24,2025-02-07,,,,,,,,,,,
PROJECT,51,BI Reporting 51,2022-02-13,2023-01-15,,,,,,,,,,,
PROJECT,52,Payment Gateway 52,2023-05-08,2025-04-22,,,,,,,,,,,
PROJECT,53,Cloud Migration 53,2023-12-06,2025-08-27,,,,,,,,,,,
PROJECT,54,Supply Chain 54,2024-05-24,2025-06-20,,,,,,,,,,,
PROJECT,55,Cloud Migration 55,2022-05-31,2022-09-25,,,,,,,,,,,
PROJECT,56,HR Portal 56,2023-02-21,2023-05-24,,,,,,,,,,,
PROJECT,57,API Gateway 57,2022-11-15,2023-12-03,,,,,,,,,,,
PROJECT,58,Mobile App 58,2023-06-13,2024-05-12,,,,,,,,,,,
PROJECT,59,BI Reporting 59,2023-10-03,2024-07-05,,,,,,,,,,,
PROJECT,60,BI Reporting 60,2022-09-30,2024-07-01,,,,,,,,,,,
MATERIAL_RESOURCE,1,SSD Drive_1,,,,,,,,material,,,336,,
HUMAN_RESOURCE,2,Person_2,,,,,,,,human,Project Manager,3,,,
HUMAN_RESOURCE,3,Person_3,,,,,,,,human,Business Analyst,9,,,
HUMAN_RESOURCE,4,Person_4,,,,,,,,human,Security Engineer,7,,,
MATERIAL_RESOURCE,5,Software License_5,,,,,,,,material,,,186,,
HUMAN_RESOURCE,6,Person_6,,,,,,,,human,Designer,9,,,
HUMAN_RESOURCE,7,Person_7,,,,,,,,human,Developer,2,,,
HUMAN_RESOURCE,8,Person_8,,,,,,,,human,Designer,7,,,
HUMAN_RESOURCE,9,Person_9,,,,,,,,human,Solution Architect,7,,,
HUMAN_RESOURCE,10,Person_10,,,,,,,,human,Project Manager,9,,,
HUMAN_RESOURCE,11,Person_11,,,,,,,,human,Data Scientist,1,,,
MATERIAL_RESOURCE,12,Laptop_12,,,,,,,,material,,,350,,
MATERIAL_RESOURCE,13,Network Switch_13,,,,,,,,material,,,394,,
HUMAN_RESOURCE,14,Person_14,,,,,,,,human,Senior Developer,5,,,
HUMAN_RESOURCE,15,Person_15,,,,,,,,human,Project Manager,1,,,
MATERIAL_RESOURCE,16,Network Switch_16,,,,,,,,material,,,498,,
HUMAN_RESOURCE,17,Person_17,,,,,,,,human,Designer,9,,,
MATERIAL_RESOURCE,18,Network Switch_18,,,,,,,,material,,,431,,
HUMAN_RESOURCE,19,Person_19,,,,,,,,human,Security Engineer,4,,,
HUMAN_RESOURCE,20,Person_20,,,,,,,,human,Designer,9,,,
MATERIAL_RESOURCE,21,Monitor_21,,,,,,,,material,,,471,,
HUMAN_RESOURCE,22,Person_22,,,,,,,,human,DevOps Engineer,8,,,
HUMAN_RESOURCE,23,Person_23,,,,,,,,human,DevOps Engineer,5,,,
HUMAN_RESOURCE,24,Person_24,,,,,,,,human,Business Analyst,10,,,
MATERIAL_RESOURCE,25,Laptop_25,,,,,,,,material,,,375,,
HUMAN_RESOURCE,26,Person_26,,,,,,,,human,Senior Developer,9,,,
MATERIAL_RESOURCE,27,Cloud License_27,,,,,,,,material,,,338,,
HUMAN_RESOURCE,28,Person_28,,,,,,,,human,Data Scientist,3,,,
HUMAN_RESOURCE,29,Person_29,,,,,,,,human,Security Engineer,7,,,
MATERIAL_RESOURCE,30,Monitor_30,,,,,,,,material,,,387,,
MATERIAL_RESOURCE,31,SSD Drive_31,,,,,,,,material,,,366,,
HUMAN_RESOURCE,32,Person_32,,,,,,,,human,DevOps Engineer,8,,,
MATERIAL_RESOURCE,33,External HDD_33,,,,,,,,material,,,62,,
HUMAN_RESOURCE,34,Person_34,,,,,,,,human,Senior Developer,6,,,
HUMAN_RESOURCE,35,Person_35,,,,,,,,human,Data Scientist,4,,,
HUMAN_RESOURCE,36,Person_36,,,,,,,,human,Developer,2,,,
MATERIAL_RESOURCE,37,Server_37,,,,,,,,material,,,118,,
HUMAN_RESOURCE,38,Person_38,,,,,,,,human,Developer,6,,,
HUMAN_RESOURCE,39,Person_39,,,,,,,,human,Business Analyst,5,,,
MATERIAL_RESOURCE,40,SSD Drive_40,,,,,,,,material,,,277,,
HUMAN_RESOURCE,41,Person_41,,,,,,,,human,Security Engineer,10,,,
